species	chemical	frequency	pmid
Arctostaphylos uva-ursi	afb1	2	36009632
Arctostaphylos uva-ursi	methanolic extract	1	36009632
Arctostaphylos uva-ursi	polyphenols	6	36009632, 34325633, 24500005, 23916388, 19107742
Arctostaphylos uva-ursi	flavonoids	3	36009632, 35953755
Arctostaphylos uva-ursi	ddw	1	36009632
Arctostaphylos uva-ursi	methanol	10	36009632, 35019793, 32495959, 27043639, 21331974, 18066112
Arctostaphylos uva-ursi	cysteine	4	35953755
Arctostaphylos uva-ursi	phenol	1	35953755
Arctostaphylos uva-ursi	carbonic acids	1	35953755
Arctostaphylos uva-ursi	saponins	3	35953755, 35019793, 7860196
Arctostaphylos uva-ursi	glucose	3	35953755, 2750445
Arctostaphylos uva-ursi	alcohol	2	35953755, 35019793
Arctostaphylos uva-ursi	dexamethasone	7	35953755, 1469616
Arctostaphylos uva-ursi	ethanol	6	35953755, 35408643, 35019793, 17674527
Arctostaphylos uva-ursi	phenologlycoside	1	35953755
Arctostaphylos uva-ursi	phenolic carboxylic acid	1	35953755
Arctostaphylos uva-ursi	gallic acid	2	35953755, 18066112
Arctostaphylos uva-ursi	hydroxycinnamic acids	1	35953755
Arctostaphylos uva-ursi	fosfomycin	3	35750460, 29970072
Arctostaphylos uva-ursi	gurgem-7	2	35605329
Arctostaphylos uva-ursi	taxifolin	1	35605329
Arctostaphylos uva-ursi	chlorogenic acids	1	35605329
Arctostaphylos uva-ursi	hydroxysafflor yellow a	1	35605329
Arctostaphylos uva-ursi	hydroxybenzoic acid	1	35605329
Arctostaphylos uva-ursi	caco-2	1	35605329
Arctostaphylos uva-ursi	hydroquinone	34	35408643, 35143933, 32495959, 26798166, 24296864, 17674527, 9848213, 1237357
Arctostaphylos uva-ursi	corilagin	5	35408643, 34946773, 11600378
Arctostaphylos uva-ursi	reactive oxygen species	1	35143933
Arctostaphylos uva-ursi	neutral red	1	35143933
Arctostaphylos uva-ursi	2',7'-dichlorofluorescein-diacetate	1	35143933
Arctostaphylos uva-ursi	dcfh-da	1	35143933
Arctostaphylos uva-ursi	oxygen	3	35143933, 17087470
Arctostaphylos uva-ursi	superoxide	1	35019793
Arctostaphylos uva-ursi	dpph	1	35019793
Arctostaphylos uva-ursi	hydroxyl	1	35019793
Arctostaphylos uva-ursi	nitrosyl radicals	1	35019793
Arctostaphylos uva-ursi	l -tyrosine	1	35019793
Arctostaphylos uva-ursi	4,6-di-o-galloylglucose	1	35019793
Arctostaphylos uva-ursi	2,3-di-o-galloylglucose	1	35019793
Arctostaphylos uva-ursi	1,4,6-tri-o-galloylglucose	1	35019793
Arctostaphylos uva-ursi	1,2,4,6-tetra-o-galloylglucose	1	35019793
Arctostaphylos uva-ursi	tetra-o-galloylhexose	1	35019793
Arctostaphylos uva-ursi	hyperoside	1	34946773
Arctostaphylos uva-ursi	flavonoid	2	34946773, 34325633
Arctostaphylos uva-ursi	phenolic	1	34493038
Arctostaphylos uva-ursi	tannins	1	34493038
Arctostaphylos uva-ursi	flavanols	1	34493038
Arctostaphylos uva-ursi	flavonols	2	34493038, 25702282
Arctostaphylos uva-ursi	saccharide	1	34493038
Arctostaphylos uva-ursi	1,2,3,4,6-pentagalloylglucose	1	34493038
Arctostaphylos uva-ursi	quercetin 3-galactoside	1	34493038
Arctostaphylos uva-ursi	quercetin 3-glucoside	1	34493038
Arctostaphylos uva-ursi	quinic acid	1	34493038
Arctostaphylos uva-ursi	ellagic acid	1	34493038
Arctostaphylos uva-ursi	ethosomal	2	34325633
Arctostaphylos uva-ursi	mir-338-	1	33146000
Arctostaphylos uva-ursi	glycoside	2	33146000, 29696482
Arctostaphylos uva-ursi	mir-338-3p	1	33146000
Arctostaphylos uva-ursi	mir-338	1	33146000
Arctostaphylos uva-ursi	hydroquinone beta-d-glucoside	1	32971908
Arctostaphylos uva-ursi	catechin	1	32971908
Arctostaphylos uva-ursi	myricetin	2	32971908, 25702282
Arctostaphylos uva-ursi	phenol glucoside	1	32495959
Arctostaphylos uva-ursi	free	1	30683397
Arctostaphylos uva-ursi	nicotine	1	30373836
Arctostaphylos uva-ursi	ibuprofen	2	29970072, 15909927
Arctostaphylos uva-ursi	ste	3	29696482
Arctostaphylos uva-ursi	lipid	4	29696482, 27043639, 26045371
Arctostaphylos uva-ursi	trichostatin a	2	28031235
Arctostaphylos uva-ursi	apicidin	2	28031235
Arctostaphylos uva-ursi	tsa	2	28031235
Arctostaphylos uva-ursi	butyrate	1	28031235
Arctostaphylos uva-ursi	suberohydroxamic acid	1	28031235
Arctostaphylos uva-ursi	m344	1	28031235
Arctostaphylos uva-ursi	cl-994	1	28031235
Arctostaphylos uva-ursi	valproic acid	1	28031235
Arctostaphylos uva-ursi	sodium phenylbutyrate	1	28031235
Arctostaphylos uva-ursi	lysine	1	28031235
Arctostaphylos uva-ursi	2,2'-azino-bis-3-ethylbenzothiazoline-6-sulphonic acid	1	27043639
Arctostaphylos uva-ursi	abts	1	27043639
Arctostaphylos uva-ursi	trolox	1	27043639
Arctostaphylos uva-ursi	methoxy radicals	1	27043639
Arctostaphylos uva-ursi	oil	1	27043639
Arctostaphylos uva-ursi	lipids	3	27043639, 19107742
Arctostaphylos uva-ursi	arb	3	25702282
Arctostaphylos uva-ursi	beh c18	1	25702282
Arctostaphylos uva-ursi	tetra- and pentagalloylglucose	1	25702282
Arctostaphylos uva-ursi	quercetin	2	25702282, 24500005
Arctostaphylos uva-ursi	myricetrin	1	25702282
Arctostaphylos uva-ursi	galloyl arbutin	1	25702282
Arctostaphylos uva-ursi	disaccharide	1	25702282
Arctostaphylos uva-ursi	pro-qs	1	24914718
Arctostaphylos uva-ursi	acyl-homoserine lactone	1	24914718
Arctostaphylos uva-ursi	tannic acid	1	24500005
Arctostaphylos uva-ursi	ciprofloxacin	2	24500005, 23916388
Arctostaphylos uva-ursi	streptomycin	1	24500005
Arctostaphylos uva-ursi	cefotaxime	1	24500005
Arctostaphylos uva-ursi	uva-ursi folium extract	1	24296864
Arctostaphylos uva-ursi	dpph radicals	1	23916388
Arctostaphylos uva-ursi	iron	3	23916388
Arctostaphylos uva-ursi	h2o2	1	23916388
Arctostaphylos uva-ursi	polyphenol	2	23916388
Arctostaphylos uva-ursi	peroxide	1	23916388
Arctostaphylos uva-ursi	ampicillin	1	23916388
Arctostaphylos uva-ursi	kanamycin	1	23916388
Arctostaphylos uva-ursi	oleanolic	2	23122121
Arctostaphylos uva-ursi	ursolic acid	1	23122121
Arctostaphylos uva-ursi	triterpene pentacyclic acids	1	23122121
Arctostaphylos uva-ursi	ursolic acids	1	23122121
Arctostaphylos uva-ursi	maslinic acid	1	23122121
Arctostaphylos uva-ursi	betulinic acid	1	23122121
Arctostaphylos uva-ursi	triterpenic acids	2	23122121
Arctostaphylos uva-ursi	chlorophyll	3	22150512, 16358792
Arctostaphylos uva-ursi	aluminium	1	21331974
Arctostaphylos uva-ursi	silica gel	1	21331974
Arctostaphylos uva-ursi	chloroform	1	21331974
Arctostaphylos uva-ursi	cephalosporins	1	21301385
Arctostaphylos uva-ursi	salidroside	1	21301385
Arctostaphylos uva-ursi	rosavin	1	21301385
Arctostaphylos uva-ursi	essential oils	1	20877214
Arctostaphylos uva-ursi	terpenoids	1	20877214
Arctostaphylos uva-ursi	fatty acids	1	20877214
Arctostaphylos uva-ursi	fatty acid	1	20877214
Arctostaphylos uva-ursi	carotenoid	1	20877214
Arctostaphylos uva-ursi	oils	1	20877214
Arctostaphylos uva-ursi	alpha-terpineol	1	20877214
Arctostaphylos uva-ursi	linalool	1	20877214
Arctostaphylos uva-ursi	essential oil	1	20877214
Arctostaphylos uva-ursi	n,o-bis(trimethylsilyl)acetamide	1	19609883
Arctostaphylos uva-ursi	trimethylchlorosilane	1	19609883
Arctostaphylos uva-ursi	triglycerides	1	19107742
Arctostaphylos uva-ursi	p-nitrophenylpalmitate	1	19107742
Arctostaphylos uva-ursi	5-bromo-4-chloro-3-indoxylpalmitate	1	19107742
Arctostaphylos uva-ursi	rhodamine 123	1	18066112
Arctostaphylos uva-ursi	rh123	2	18066112
Arctostaphylos uva-ursi	myricitrin	1	18066112
Arctostaphylos uva-ursi	isoquercetin	1	18066112
Arctostaphylos uva-ursi	metal	7	17596623, 16358792
Arctostaphylos uva-ursi	14c	1	17445338
Arctostaphylos uva-ursi	scfa	1	17445338
Arctostaphylos uva-ursi	nh3	1	17445338
Arctostaphylos uva-ursi	polyethyleneglycol	1	17445338
Arctostaphylos uva-ursi	monensin	2	17445338
Arctostaphylos uva-ursi	phosphorus	2	17307240
Arctostaphylos uva-ursi	psbs	3	17087470
Arctostaphylos uva-ursi	zeaxanthin	11	17087470, 28313528
Arctostaphylos uva-ursi	antheraxanthin	3	17087470, 28313528
Arctostaphylos uva-ursi	actonel	1	15909927
Arctostaphylos uva-ursi	risedronate	1	15909927
Arctostaphylos uva-ursi	aldan	1	15909927
Arctostaphylos uva-ursi	amlodipine	1	15909927
Arctostaphylos uva-ursi	aleras	1	15909927
Arctostaphylos uva-ursi	cetirisine	1	15909927
Arctostaphylos uva-ursi	aspicam	1	15909927
Arctostaphylos uva-ursi	baikadent	1	15909927
Arctostaphylos uva-ursi	debretin	1	15909927
Arctostaphylos uva-ursi	trimebutine	1	15909927
Arctostaphylos uva-ursi	ferro-duo	1	15909927
Arctostaphylos uva-ursi	bismuth citrate	1	15909927
Arctostaphylos uva-ursi	ibum	1	15909927
Arctostaphylos uva-ursi	upfen	1	15909927
Arctostaphylos uva-ursi	lastet	1	15909927
Arctostaphylos uva-ursi	etoposide	1	15909927
Arctostaphylos uva-ursi	legalon	1	15909927
Arctostaphylos uva-ursi	madopar	1	15909927
Arctostaphylos uva-ursi	benserazide	1	15909927
Arctostaphylos uva-ursi	levodopa	1	15909927
Arctostaphylos uva-ursi	moxenil	1	15909927
Arctostaphylos uva-ursi	nimesulide	1	15909927
Arctostaphylos uva-ursi	neurotin	1	15909927
Arctostaphylos uva-ursi	gabapentin	1	15909927
Arctostaphylos uva-ursi	propranolol	2	15909927
Arctostaphylos uva-ursi	rexetin	1	15909927
Arctostaphylos uva-ursi	paroxetine	1	15909927
Arctostaphylos uva-ursi	salipax	1	15909927
Arctostaphylos uva-ursi	fluoxetine	1	15909927
Arctostaphylos uva-ursi	selofen	1	15909927
Arctostaphylos uva-ursi	stenorol	1	15909927
Arctostaphylos uva-ursi	halofuginone	1	15909927
Arctostaphylos uva-ursi	stimuloton	1	15909927
Arctostaphylos uva-ursi	sertraline	2	15909927
Arctostaphylos uva-ursi	superoptim	1	15909927
Arctostaphylos uva-ursi	hipericine	2	15909927
Arctostaphylos uva-ursi	uversan	1	15909927
Arctostaphylos uva-ursi	arbutine	1	15909927
Arctostaphylos uva-ursi	copper	2	12963307
Arctostaphylos uva-ursi	cu	4	12963307
Arctostaphylos uva-ursi	beta-lactams	2	11600378
Arctostaphylos uva-ursi	methicillin	2	11600378
Arctostaphylos uva-ursi	beta-lactam	1	11600378
Arctostaphylos uva-ursi	oxacillin	3	11600378
Arctostaphylos uva-ursi	cefmetazole	1	11600378
Arctostaphylos uva-ursi	sodium	1	10353162
Arctostaphylos uva-ursi	glucosinolates	1	9848213
Arctostaphylos uva-ursi	quinone	2	9848213
Arctostaphylos uva-ursi	picryl chloride	4	1469616, 1875280, 2355310, 1693958
Arctostaphylos uva-ursi	pc-cd	14	1469616, 1875280, 2355310, 1693958
Arctostaphylos uva-ursi	carrageenin	4	1469616, 1875280
Arctostaphylos uva-ursi	xanthophyll	1	28313528
Arctostaphylos uva-ursi	carotenoids	3	28313528
Arctostaphylos uva-ursi	violaxanthin	4	28313528
Arctostaphylos uva-ursi	chlorophylls	1	28313528
Arctostaphylos uva-ursi	melanin	4	1403661
Arctostaphylos uva-ursi	methanolic	2	1403661, 1693958
Arctostaphylos uva-ursi	dopa	1	1403661
Arctostaphylos uva-ursi	phenolic acids	1	1798740
Arctostaphylos uva-ursi	indomethacin	7	1875280
Arctostaphylos uva-ursi	srbc-dth	7	1875280, 2355310
Arctostaphylos uva-ursi	prednisolone	12	2355310, 1693958
Arctostaphylos uva-ursi	dexamethazone	6	2355310
Arctostaphylos uva-ursi	srbc	1	2355310
Arctostaphylos uva-ursi	u-ext	1	1693958
Arctostaphylos uva-ursi	streptozotocin	4	2750445
Arctostaphylos uva-ursi	piceoside	1	17269034
Arctostaphylos uva-ursi	antiinflamin	1	7314446
Arctostaphylos uva-ursi	glucosides	1	569336
Aster ciliolatum	hexazinone	2	16102889
Astragalus alpinus	15n	1	27939530
Astragalus alpinus	nitrogen	1	27939530
Athyrium filix-femina	water	7	30538169, 24777347, 18952257
Athyrium filix-femina	abscisic acid	1	30538169
Athyrium filix-femina	aba	5	30538169
Athyrium filix-femina	mercury	3	28633101
Athyrium filix-femina	copper	1	28633101
Athyrium filix-femina	zn	3	27557601
Athyrium filix-femina	cd	3	27557601
Athyrium filix-femina	cu	3	27557601
Athyrium filix-femina	pb	3	27557601
Athyrium filix-femina	tc-hms	1	27557601
Athyrium filix-femina	metal	1	27557601
Athyrium filix-femina	hg	1	27557601
Athyrium filix-femina	monoterpenes	2	21121267
Athyrium filix-femina	sesquiterpenes	1	21121267
Athyrium filix-femina	carotenoid	2	21121267
Athyrium filix-femina	(e)-2-decenal	1	21121267
Athyrium filix-femina	isoprenoids	1	21121267
Athyrium filix-femina	2-phenylethanal	1	21121267
Athyrium filix-femina	1-octen-3-ol	1	21121267
Athyrium filix-femina	(e)-nerolidol	2	21121267
Athyrium filix-femina	polyketides	1	21121267
Athyrium filix-femina	acylfilicinic acids	1	21121267
Athyrium filix-femina	alpha-terpineol	1	21121267
Athyrium filix-femina	beta-caryophyllene	1	21121267
Athyrium filix-femina	linalool	1	21121267
Athyrium filix-femina	pinenes	1	21121267
Athyrium filix-femina	limonene	1	21121267
Athyrium filix-femina	gamma-terpinen-7-al	1	21121267
Athyrium filix-femina	nitrate	1	20118608
Athyrium filix-femina	agar	1	20118608
Athyrium filix-femina	arsenic	8	18952257
Athyrium filix-femina	sds	2	18952257
Athyrium filix-femina	chloride	1	17850934
Athyrium filix-femina	organochlorines	1	17850934
Athyrium filix-femina	cl-chloride	6	17850934
Athyrium filix-femina	chlorine	1	17850934
Athyrium filix-femina	organochlorine compounds	1	17850934
Athyrium filix-femina	vocls	2	17850934
Athyrium filix-femina	chloroform	1	17850934
Athyrium filix-femina	tetrachloromethane	1	17850934
Athyrium filix-femina	1,1,1-trichloroethane	1	17850934
Athyrium filix-femina	co2	15	28313125
Athyrium filix-femina	carbon	3	28313125
Athyrium filix-femina	chlorophyll	3	28313125
Betula glandulosa	isoprene	3	37284597, 35537508
Betula glandulosa	homoterpene	1	37284597
Betula glandulosa	(e)-4,8-dimethyl-1,3,7-nonatriene	1	37284597
Betula glandulosa	co2	11	35537508, 33542399, 24198933
Betula glandulosa	betula green	1	35537508
Betula glandulosa	essential oil	1	34882976
Betula glandulosa	linalool	1	34882976
Betula glandulosa	c 6 oxylipins	1	34882976
Betula glandulosa	eugenol	1	34882976
Betula glandulosa	alpha -terpineol	1	34882976
Betula glandulosa	nitrogen	17	33542399, 28653471, 23272191
Betula glandulosa	n	1	33542399
Betula glandulosa	phosphorus	1	28653471
Betula glandulosa	carbon	1	27197084
Betula glandulosa	nitrate	1	24198933
Betula glandulosa	ammonia	1	24198933
Betula glandulosa	polychlorinated biphenyls	2	23712118, 23348720
Betula glandulosa	pcbs	6	23712118, 23348720
Betula glandulosa	pcb	7	23348720
Betula glandulosa	macrofossil	1	18459336
Betula glandulosa	charcoal	1	18459336
Betula glandulosa	aryl hydrocarbon	4	17373513
Betula glandulosa	aryl hydrocarbons	3	17373513
Betula glandulosa	dioxins	1	17373513
Betula glandulosa	polycyclic aromatic hydrocarbons	1	17373513
Betula glandulosa	pahs	1	17373513
Betula glandulosa	water	1	17373513
Betula glandulosa	aryl compound	1	17373513
Betula glandulosa	benzo[a]pyrene	1	17373513
Betula papyrifera	carbon	60	37579148, 37533970, 37232396, 36864680, 36110871, 35476522, 34293090, 34278647, 34242323, 32416423, 27658686, 27069619, 26975315, 24130066, 23726059, 20462938, 19889492, 18244941, 18055435, 16137937, 16137936, 14562100, 11276418, 28307762, 28307286, 33863069, 28313418
Betula papyrifera	co2	233	37232396, 33757245, 33542399, 33280131, 32785621, 32411171, 27943083, 24372544, 23726059, 22358995, 19889492, 19797245, 19773339, 19674822, 18355950, 18055435, 18027765, 17450302, 17331907, 17169898, 16137937, 16137936, 15741153, 33873720, 28547691, 11789924, 11789920, 28308720, 28307762, 33862848, 28307286, 33863073, 33863069, 28313969, 28313418, 28313851
Betula papyrifera	glycine	1	37232396
Betula papyrifera	pyc	4	36864680
Betula papyrifera	juglone	3	36864680
Betula papyrifera	calcium silicate	2	36530407
Betula papyrifera	nitrogen	58	36530407, 36110871, 35474687, 34647850, 33542399, 29205288, 27943083, 27658686, 27316353, 25538021, 21990024, 21971584, 21441343, 21265870, 17938112, 17331907, 17180435, 16877330, 16137937, 14526111, 12651406, 11789920, 28307286, 14871736, 28313969, 28313851
Betula papyrifera	phosphorus	9	36530407, 36110871, 35474687, 32416423, 29205288, 17180435, 16877330
Betula papyrifera	calcium	3	36530407, 35474687, 17180435
Betula papyrifera	n	79	36110871, 35474687, 33542399, 29205288, 18027765, 17331907, 17180435, 16877330, 16137937, 15741153, 11789920, 28307286, 33863069, 14969931
Betula papyrifera	p	18	36110871, 35474687, 29205288, 17331907, 17180435, 16877330
Betula papyrifera	water	98	35558163, 34143806, 33280131, 32785621, 31580010, 30092548, 28741266, 28207782, 27425790, 24372544, 23585669, 21470981, 20007132, 19797245, 18058024, 17938112, 17331907, 16877330, 16414920, 15983007, 15741153, 15519983, 15294764, 11986053, 11118418, 28308720, 14972935, 14972929, 16662306, 28309376, 16657121
Betula papyrifera	magnesium	2	35474687, 17180435
Betula papyrifera	mg	7	35474687, 30092548, 18058024, 17180435, 14969931
Betula papyrifera	potassium	3	35474687, 17180435, 16877330
Betula papyrifera	metal	21	34647850, 31565738, 27804963, 27230027, 27082755, 25535559, 22336730, 18058024, 14553996
Betula papyrifera	carbohydrate	6	34293090, 27943083, 27069619, 18055435, 28313969
Betula papyrifera	sugars	10	34293090, 27069619, 20462938, 16137937, 16665468
Betula papyrifera	starch	9	34293090, 27069619, 20462938, 18316312, 18055435, 11789924, 11789920
Betula papyrifera	sugar	4	34293090, 15983007, 14972929
Betula papyrifera	carbon dioxide	28	34242323, 27943083, 21971584, 20007132, 19797245, 19773339, 18355950, 18316312, 17450302, 17169898, 16877330, 16137937, 16137936, 14562100, 12651406, 28547691, 11789920, 28308720
Betula papyrifera	o3	60	33757245, 27943083, 24372544, 19889492, 19773339, 19674822, 18355950, 18055435, 18027765, 17450302, 16137937, 16137936, 28547691, 11789924, 11789920
Betula papyrifera	eco2	4	33757245
Betula papyrifera	eo3	5	33757245
Betula papyrifera	ozone	30	33757245, 27943083, 21971584, 19773339, 18316312, 16137937, 16137936, 33873720, 14562100, 28547691, 11789924, 11789920, 15092618, 16662306
Betula papyrifera	triose phosphate	3	33280131, 19797245, 15741153
Betula papyrifera	au	1	32416423
Betula papyrifera	arsenic	1	32416423
Betula papyrifera	as	3	32416423, 32109699, 18058024
Betula papyrifera	oil	3	31952100
Betula papyrifera	chlorophyll	13	31952100, 22358995, 19797245, 17938112, 17331907, 15741153, 11986053, 21669715, 16657121
Betula papyrifera	methanol	3	31580010
Betula papyrifera	ethanol	11	31580010, 25697605, 19963016, 16662306
Betula papyrifera	catechol	2	31580010
Betula papyrifera	sodium chloride	1	30092548
Betula papyrifera	salt	3	30092548
Betula papyrifera	sodium	1	30092548
Betula papyrifera	lignin	13	27943083, 25538021, 21971584, 20462938, 18316312, 16137937
Betula papyrifera	nickel	15	27804963, 27230027, 27082755
Betula papyrifera	tbdts	1	27804963
Betula papyrifera	fe	3	27425790, 18058024
Betula papyrifera	phyllosphere	8	27635335, 27316353
Betula papyrifera	copper	3	27230027, 17180435
Betula papyrifera	cu	14	27230027, 25535559, 22336730, 18058024, 17180435, 14553996
Betula papyrifera	alkaline hemicellulose	1	27163434
Betula papyrifera	hemicellulose	6	27163434, 18316312, 16137937
Betula papyrifera	xylans	1	27163434
Betula papyrifera	glutathione	1	27082755
Betula papyrifera	carbohydrates	4	27069619, 25538021, 16137937, 12651406
Betula papyrifera	nsc	1	27069619
Betula papyrifera	sdi	1	26975315
Betula papyrifera	pentacyclic dihydroxy-triterpenoid betulin	1	26671722
Betula papyrifera	betulin	12	26671722, 15498608
Betula papyrifera	6-6-6-6-5 pentacyclic dihydroxy-triterpenoid	1	26671722
Betula papyrifera	rhodamine-b	1	26671722
Betula papyrifera	doxorubicin	1	26671722
Betula papyrifera	rhodamine	1	26671722
Betula papyrifera	crystal violet	1	26671722
Betula papyrifera	methylene blue	1	26671722
Betula papyrifera	cresol red	1	26671722
Betula papyrifera	etoh	1	25697605
Betula papyrifera	h2o	1	25697605
Betula papyrifera	resazurin	1	25697605
Betula papyrifera	gallic acid	1	25697605
Betula papyrifera	ethyl gallate	1	25697605
Betula papyrifera	caffeic acid	1	25697605
Betula papyrifera	sinapic acid	1	25697605
Betula papyrifera	gentisic acid	1	25697605
Betula papyrifera	chlorogenic acid	1	25697605
Betula papyrifera	tannins	4	25538021, 16137937
Betula papyrifera	zn	2	25535559, 14553996
Betula papyrifera	pb	3	25535559, 17180435, 14553996
Betula papyrifera	co2 +	2	24372544, 11789920
